Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
19,0.25,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,5.128957392877528,-10.620553030504498,112.79614667375829,-0.6743417887286846
20,0.3,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,12.631074444400037,-3.1184359789819887,9.724642955009354,-0.1980020899159061
21,0.3,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,12.980575344333086,-2.768935079048939,7.667001471987754,-0.1758108667897463
22,0.3,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),11.643894862899025,-4.105615560483001,16.856079130480143,-0.2606821069426847
23,0.3,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,4.854141788100931,-10.895368635281097,118.70905769866702,-0.691790940949226
24,0.3,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,5.045568806800863,-10.703941616581162,114.57436613117814,-0.6796364667113642
25,0.4,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,2.1797514800051845,-13.56975894337684,184.1383577813557,-0.8615987785392311
26,0.4,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,2.770872678085887,-12.97863774529614,168.44503772362563,-0.8240661072250096
27,0.4,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),-1.61558813611988,-17.365098559501906,301.5466479812152,-1.1025802131424574
28,0.4,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,4.627284364669877,-11.122226058712148,123.70391250109554,-0.7061950346215129
29,0.4,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,4.82466205079633,-10.924848372585696,119.35231196398834,-0.6936627284849729
30,0.5,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,5.637382729305924,-10.1121276940761,102.25512650130084,-0.6420598115268041
31,0.5,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,6.700507720872393,-9.049002702509632,81.88444991002663,-0.5745577138115551
32,0.5,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),0.5925020522910381,-15.157008371090988,229.73490276132225,-0.9623796526772412
33,0.5,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,4.31759229331979,-11.431918130062236,130.68875213244564,-0.7258586345065172
34,0.5,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,4.787810763826644,-10.961699659555382,120.1588594262966,-0.6960025654690467
0,0.1,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,Reg,16.232235706458688,0.4827252830766628,0.2330236989214442,0.0306501770594722
1,0.1,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,VIM,17.850744867204728,2.101234443822703,4.415186187906904,0.1334158578480744
2,0.1,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,SNIPE(1),7.04926583207568,-8.700244591306346,75.69425594855532,-0.5524136533406013
3,0.1,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,Lin's,4.723875847682974,-11.025634575699051,121.5646177968504,-0.7000620514101938
