,Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0,0.35,2,10000,2,0.0,10000-0,8.698167151381423,1,Bernoulli,Reg,8.882354756415276,0.1841876050338537,0.0339250738481069,0.0211754501641879
1,1,0.35,2,10000,2,0.0,10000-0,8.698167151381423,1,Bernoulli,VIM,8.963095770925078,0.2649286195436549,0.0701871734533066,0.0304579821165634
2,2,0.35,2,10000,2,0.0,10000-0,8.698167151381423,1,Bernoulli,SNIPE(2),9.534733991981648,0.8365668406002253,0.6998440787918428,0.096177370018391
3,3,0.35,2,10000,2,0.0,10000-0,8.698167151381423,1,Bernoulli,Lin's,3.797340645549157,-4.900826505832266,24.0181004402681,-0.5634320909841252
4,4,0.35,2,10000,2,0.0,10000-0,8.698167151381423,1,Bernoulli,DM,3.805659599922442,-4.892507551458981,23.93663014108316,-0.5624756878444173
5,5,0.35,2,10000,2,0.25,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
6,6,0.35,2,10000,2,0.25,10000-0,8.698167151381424,1,Bernoulli,VIM,8.98057285511777,0.2824057037363463,0.079752981502821,0.0324672656688938
7,7,0.35,2,10000,2,0.25,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.617037503802376,0.9188703524209512,0.844322724558203,0.1056395372069871
8,8,0.35,2,10000,2,0.25,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549155,-4.900826505832269,24.018100440268125,-0.5634320909841253
9,9,0.35,2,10000,2,0.25,10000-0,8.698167151381424,1,Bernoulli,DM,3.809292685388908,-4.888874465992517,23.901093544233618,-0.5620580038193537
10,10,0.35,2,10000,2,0.5,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
11,11,0.35,2,10000,2,0.5,10000-0,8.698167151381424,1,Bernoulli,VIM,8.998049939309901,0.2998827879284764,0.0899296864957555,0.0344765492211597
12,12,0.35,2,10000,2,0.5,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.6993410156231,1.0011738642416752,1.0023491064406085,0.115101704395583
13,13,0.35,2,10000,2,0.5,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549156,-4.900826505832269,24.018100440268125,-0.5634320909841253
14,14,0.35,2,10000,2,0.5,10000-0,8.698167151381424,1,Bernoulli,DM,3.812925770855376,-4.885241380526049,23.86558334600405,-0.5616403197942896
15,15,0.35,2,10000,2,0.75,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
16,16,0.35,2,10000,2,0.75,10000-0,8.698167151381424,1,Bernoulli,VIM,9.01552702350152,0.317359872120095,0.100717288432083,0.0364858327733668
17,17,0.35,2,10000,2,0.75,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.781644527443826,1.083477376062401,1.1739232244390656,0.1245638715841791
18,18,0.35,2,10000,2,0.75,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549156,-4.900826505832269,24.018100440268125,-0.5634320909841253
19,19,0.35,2,10000,2,0.75,10000-0,8.698167151381424,1,Bernoulli,DM,3.8165588563218433,-4.881608295059581,23.83009954639451,-0.5612226357692257
20,20,0.35,2,10000,2,1.0,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
21,21,0.35,2,10000,2,1.0,10000-0,8.698167151381424,1,Bernoulli,VIM,9.033004107692507,0.3348369563110829,0.11211578731167,0.0384951163255013
22,22,0.35,2,10000,2,1.0,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.863948039264551,1.1657808878831268,1.3590450785535717,0.1340260387727752
23,23,0.35,2,10000,2,1.0,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549156,-4.900826505832269,24.018100440268125,-0.5634320909841253
24,24,0.35,2,10000,2,1.0,10000-0,8.698167151381424,1,Bernoulli,DM,3.8201919417883103,-4.877975209593114,23.794642145404985,-0.5608049517441619
25,25,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,1,Bernoulli,Reg,8.882354756415276,0.184187605033852,0.0339250738481062,0.0211754501641877
26,26,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,1,Bernoulli,VIM,9.056306886615678,0.3581397352342534,0.1282640699536612,0.0411741610618938
27,27,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,1,Bernoulli,SNIPE(2),9.97368605502552,1.2755189036440946,1.626948473553433,0.1466422616909033
28,28,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,1,Bernoulli,Lin's,3.797340645549156,-4.900826505832269,24.018100440268125,-0.5634320909841253
29,29,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,1,Bernoulli,DM,3.8250360557436,-4.873131095637824,23.7474066752723,-0.5602480397107433
30,30,0.35,2,10000,2,2.0,10000-0,8.698167151381423,1,Bernoulli,Reg,8.882354756415276,0.1841876050338537,0.0339250738481069,0.0211754501641879
31,31,0.35,2,10000,2,2.0,10000-0,8.698167151381423,1,Bernoulli,VIM,9.102912444462683,0.4047452930812625,0.163818752271437,0.0465322505347556
32,32,0.35,2,10000,2,2.0,10000-0,8.698167151381423,1,Bernoulli,SNIPE(2),10.193162086547456,1.4949949351660337,2.235009856172093,0.1718747075271601
