Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
24,0.35,0.75,10000,2,1,10000-0,6.951394484277087,5,Bernoulli,DM,4.480708801362541,-2.4706856829145467,6.1042877437589205,-0.3554230289336667
25,0.35,1.0,10000,2,1,10000-0,7.951966771086779,5,Bernoulli,Reg,5.947944587169905,-2.0040221839168737,4.016104913630956,-0.2520159152580297
26,0.35,1.0,10000,2,1,10000-0,7.951966771086779,5,Bernoulli,VIM,6.161731851672502,-1.790234919414277,3.204941066690243,-0.2251310865537746
27,0.35,1.0,10000,2,1,10000-0,7.951966771086779,5,Bernoulli,SNIPE(2),13.765789899360504,5.813823128273725,33.80053936685049,0.7311176336164646
28,0.35,1.0,10000,2,1,10000-0,7.951966771086779,5,Bernoulli,Lin's,3.945747801211721,-4.006218969875058,16.04979043458677,-0.5038022774996501
29,0.35,1.0,10000,2,1,10000-0,7.951966771086779,5,Bernoulli,DM,4.508180180628275,-3.443786590458504,11.859666080621803,-0.4330735640118688
30,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,5,Bernoulli,Reg,7.018599163059783,-2.264946068148737,5.129980691622421,-0.2439742589430879
31,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,5,Bernoulli,VIM,7.25240101501272,-2.0311442161957998,4.125546826985648,-0.2187897150937226
32,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,5,Bernoulli,SNIPE(2),16.14239689161289,6.858851660404371,47.0438460994318,0.7388181443169954
33,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,5,Bernoulli,Lin's,3.9157466179413793,-5.36779861326714,28.81326195259263,-0.578205683236421
34,0.35,1.3333333333333333,10000,2,1,10000-0,9.28354523120852,5,Bernoulli,DM,4.544089043764247,-4.739456187444272,22.4624449527038,-0.5105222271672281
35,0.35,2.0,10000,2,1,10000-0,11.942614764512316,5,Bernoulli,Reg,9.149402582072254,-2.7932121824400635,7.802034296131583,-0.233886149517285
36,0.35,2.0,10000,2,1,10000-0,11.942614764512316,5,Bernoulli,VIM,9.4234815109565,-2.5191332535558164,6.346032349170713,-0.210936491147773
37,0.35,2.0,10000,2,1,10000-0,11.942614764512316,5,Bernoulli,SNIPE(2),20.88540385196724,8.942789087454923,79.97347666270285,0.7488133263771157
38,0.35,2.0,10000,2,1,10000-0,11.942614764512316,5,Bernoulli,Lin's,3.854898177897853,-8.087716586614464,65.41115958539872,-0.6772148935631125
