Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.1,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Reg,13.661422816397437,-1.3098231628120691,1.7156367178390126,-0.0874892553786781
1,0.1,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,VIM,13.70176055826321,-1.269485420946296,1.6115932339951944,-0.0847949076990134
2,0.1,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,SNIPE(1),11.60032293854343,-3.370923040666076,11.363122146093424,-0.2251598193862595
3,0.1,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Lin's,4.7595533648314845,-10.211692614378022,104.27866605054264,-0.6820870239229886
4,0.1,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,DM,5.153920419835344,-9.817325559374162,96.3798811387412,-0.6557453917334223
5,0.15,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Reg,14.434913854864057,-0.5363321243454493,0.2876521476049025,-0.035824147508514
6,0.15,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,VIM,14.49148865369888,-0.4797573255106275,0.2301670913811102,-0.0320452503537023
7,0.15,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,SNIPE(1),12.918291988794731,-2.052953990414773,4.21462008675994,-0.1371264618366233
8,0.15,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Lin's,4.584585417667563,-10.386660561541945,107.88271762069078,-0.6937739568213525
9,0.15,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,DM,4.539053304285332,-10.432192674924174,108.8306440067416,-0.6968152610284614
10,0.2,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Reg,14.762975947911636,-0.2082700312978698,0.0433764059368156,-0.0139113358759246
11,0.2,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,VIM,14.770423683185212,-0.2008222960242935,0.040329594580469,-0.0134138665748445
12,0.2,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,SNIPE(1),13.999819476975636,-0.9714265022338716,0.943669449242334,-0.0648861493280443
13,0.2,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Lin's,4.899893297860349,-10.071352681349158,101.43214483211888,-0.6727130591091212
14,0.2,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,DM,4.7078446883024245,-10.263401290907082,105.33740605819315,-0.6855408898604575
15,0.25,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Reg,16.701683479211706,1.7304375000022,2.9944139414138635,0.115584067111398
16,0.25,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,VIM,16.7337181029532,1.762472123743695,3.106307986973611,0.1177238104424462
17,0.25,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,SNIPE(1),16.214497828669806,1.2432518494603002,1.545675161186457,0.0830426439580779
18,0.25,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Lin's,4.957399237322782,-10.013846741886724,100.27712656999536,-0.6688719666882037
19,0.25,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,DM,5.08062927796651,-9.890616701242996,97.82429873090688,-0.6606408521360243
20,0.3,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,Reg,16.625259049915964,1.6540130707064584,2.735759238067808,0.1104793196907844
21,0.3,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,VIM,16.657802905773394,1.6865569265638882,2.8444742665406286,0.112653077032199
22,0.3,2,10000,1,1,10000-0,14.971245979209506,1,Bernoulli,SNIPE(1),16.34923814063016,1.3779921614206536,1.8988623969367648,0.0920425837191015
