Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
23,0.35,2,9000,2,1,9000-0,8.842411976238425,2,Bernoulli,Lin's,3.666092079237139,-5.176319897001286,26.794287676091404,-0.5853968250870053
24,0.35,2,9000,2,1,9000-0,8.842411976238425,2,Bernoulli,DM,3.7289085098655272,-5.113503466372898,26.14791770060765,-0.5782928323305956
25,0.35,2,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,Reg,12.643357327335384,3.945190175953961,15.564525524443646,0.4535656888735915
26,0.35,2,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,VIM,12.500641151277536,3.802473999896112,14.458808519885936,0.437158074076814
27,0.35,2,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,SNIPE(2),11.944923992297063,3.2467568409156407,10.541429984032511,0.3732690789231381
28,0.35,2,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,Lin's,3.84508522133432,-4.8530819300471055,23.55240421974974,-0.5579430523218157
29,0.35,2,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,DM,3.9260789455853273,-4.772088205796097,22.77282584389821,-0.5486314671520429
0,0.35,2,5000,2,1,5000-0,8.537465563685846,3,Bernoulli,Reg,14.42635125717796,5.888885693492115,34.67897471101611,0.6897697741283457
1,0.35,2,5000,2,1,5000-0,8.537465563685846,3,Bernoulli,VIM,16.708352663760756,8.17088710007491,66.76339600217058,0.9570623786560056
2,0.35,2,5000,2,1,5000-0,8.537465563685846,3,Bernoulli,SNIPE(2),2.8778159651351327,-5.659649598550713,32.03163357837525,-0.6629191715424378
3,0.35,2,5000,2,1,5000-0,8.537465563685846,3,Bernoulli,Lin's,3.7139471156812136,-4.8235184480046325,23.26633021824102,-0.5649824777650048
4,0.35,2,5000,2,1,5000-0,8.537465563685846,3,Bernoulli,DM,3.3336427802839,-5.203822783401946,27.07977156105317,-0.609527821176396
5,0.35,2,6000,2,1,6000-0,8.692144171827673,3,Bernoulli,Reg,13.989551409860372,5.297407238032699,28.06252344556123,0.6094476959094005
6,0.35,2,6000,2,1,6000-0,8.692144171827673,3,Bernoulli,VIM,12.964489113650195,4.272344941822524,18.252931301916508,0.4915179566015171
7,0.35,2,6000,2,1,6000-0,8.692144171827673,3,Bernoulli,SNIPE(2),17.319822098551327,8.627677926723655,74.43682640727458,0.9925833898023734
8,0.35,2,6000,2,1,6000-0,8.692144171827673,3,Bernoulli,Lin's,4.002187197221593,-4.68995697460608,21.995696423656213,-0.5395627226026481
9,0.35,2,6000,2,1,6000-0,8.692144171827673,3,Bernoulli,DM,3.763534358173607,-4.928609813654066,24.291194695247164,-0.5670188754609371
10,0.35,2,7000,2,1,7000-0,8.683440796519088,3,Bernoulli,Reg,18.64515932607078,9.96171852955169,99.2358360620135,1.1472086656645395
11,0.35,2,7000,2,1,7000-0,8.683440796519088,3,Bernoulli,VIM,19.697395783604456,11.013954987085368,121.30720445754264,1.2683860286697075
12,0.35,2,7000,2,1,7000-0,8.683440796519088,3,Bernoulli,SNIPE(2),14.866750026292594,6.183309229773506,38.23331303100223,0.7120805421109333
13,0.35,2,7000,2,1,7000-0,8.683440796519088,3,Bernoulli,Lin's,3.628330074794996,-5.055110721724092,25.554144408889872,-0.5821552585180892
14,0.35,2,7000,2,1,7000-0,8.683440796519088,3,Bernoulli,DM,3.149969489878901,-5.533471306640188,30.619304701410265,-0.6372440874887266
15,0.35,2,8000,2,1,8000-0,7.995753307269692,3,Bernoulli,Reg,9.79234367894894,1.7965903716792466,3.2277369636105737,0.2246930717642072
16,0.35,2,8000,2,1,8000-0,7.995753307269692,3,Bernoulli,VIM,15.059713775095766,7.063960467826074,49.89953749100956,0.883464033514336
17,0.35,2,8000,2,1,8000-0,7.995753307269692,3,Bernoulli,SNIPE(2),-1.3083797718396517,-9.304133079109343,86.56689235377671,-1.1636343345723386
18,0.35,2,8000,2,1,8000-0,7.995753307269692,3,Bernoulli,Lin's,3.608933893267466,-4.386819414002225,19.24418457106683,-0.548643666884239
19,0.35,2,8000,2,1,8000-0,7.995753307269692,3,Bernoulli,DM,3.121967052229312,-4.87378625504038,23.75379245982053,-0.6095468516530096
20,0.35,2,9000,2,1,9000-0,8.842411976238425,3,Bernoulli,Reg,14.936549511936793,6.094137535698366,37.13851230400775,0.6891940289679672
