Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
18,0.35,2,8000,1,1,8000-0,13.12219122475102,1,Bernoulli,Lin's,4.978658886981239,-8.14353233776978,66.31711893630215,-0.6205924146578116
19,0.35,2,8000,1,1,8000-0,13.12219122475102,1,Bernoulli,DM,5.055122079016187,-8.06706914573483,65.07760460206688,-0.6147654006534183
20,0.35,2,9000,1,1,9000-0,16.871115376475643,1,Bernoulli,Reg,13.742597614535027,-3.128517761940616,9.78762338677792,-0.1854363325795807
21,0.35,2,9000,1,1,9000-0,16.871115376475643,1,Bernoulli,VIM,15.097424742429729,-1.7736906340459164,3.145978465302205,-0.1051317944585379
22,0.35,2,9000,1,1,9000-0,16.871115376475643,1,Bernoulli,SNIPE(1),6.7674241791023935,-10.10369119737325,102.0845758118777,-0.5988751171402338
23,0.35,2,9000,1,1,9000-0,16.871115376475643,1,Bernoulli,Lin's,5.115783969289737,-11.755331407185906,138.1878164927714,-0.6967726285351017
24,0.35,2,9000,1,1,9000-0,16.871115376475643,1,Bernoulli,DM,5.006856780189896,-11.864258596285747,140.76063203954024,-0.7032290593441592
25,0.35,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Reg,8.709691682712032,-7.039818740669993,49.55904790148845,-0.4469865126866765
26,0.35,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,VIM,9.37783504459036,-6.3716753787916645,40.5982471326999,-0.4045633932425069
27,0.35,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,SNIPE(1),5.3171888911900576,-10.432321532191969,108.83333255103616,-0.662390210981031
28,0.35,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,Lin's,4.742126006290848,-11.007384417091178,121.16251170562168,-0.6989032751614555
29,0.35,2,10000,1,1,10000-0,15.749510423382024,1,Bernoulli,DM,4.793169303998956,-10.956341119383069,120.04141072428423,-0.6956623301202477
0,0.35,2,5000,1,1,5000-0,14.53967409645214,2,Bernoulli,Reg,13.663990581552678,-0.8756835148994622,0.7668216182666766,-0.0602271762826609
1,0.35,2,5000,1,1,5000-0,14.53967409645214,2,Bernoulli,VIM,12.017336523336198,-2.5223375731159425,6.362186832752423,-0.1734796499827615
2,0.35,2,5000,1,1,5000-0,14.53967409645214,2,Bernoulli,SNIPE(1),23.33014203114164,8.7904679346895,77.27232651080429,0.6045849361117718
3,0.35,2,5000,1,1,5000-0,14.53967409645214,2,Bernoulli,Lin's,5.004243484358628,-9.535430612093514,90.92443695805008,-0.6558214818872918
4,0.35,2,5000,1,1,5000-0,14.53967409645214,2,Bernoulli,DM,5.994844347600719,-8.544829748851422,73.01411543685626,-0.5876905969258599
5,0.35,2,6000,1,1,6000-0,14.780512241414064,2,Bernoulli,Reg,19.617024098346523,4.836511856932459,23.391846942248264,0.3272222084009279
6,0.35,2,6000,1,1,6000-0,14.780512241414064,2,Bernoulli,VIM,18.476515027115497,3.696002785701433,13.66043659191275,0.2500591809900516
7,0.35,2,6000,1,1,6000-0,14.780512241414064,2,Bernoulli,SNIPE(1),28.468203336651964,13.6876910952379,187.3528875186549,0.9260633780259558
8,0.35,2,6000,1,1,6000-0,14.780512241414064,2,Bernoulli,Lin's,5.488898762417238,-9.291613478996826,86.3340810430755,-0.6286394765779707
9,0.35,2,6000,1,1,6000-0,14.780512241414064,2,Bernoulli,DM,5.855192877485086,-8.925319363928978,79.66132574812556,-0.6038572424385127
10,0.35,2,7000,1,1,7000-0,15.667267614735366,2,Bernoulli,Reg,17.646292349403502,1.9790247346681369,3.91653890042829,0.1263158824712246
11,0.35,2,7000,1,1,7000-0,15.667267614735366,2,Bernoulli,VIM,18.571199870256912,2.9039322555215463,8.432822544658455,0.1853502682746251
12,0.35,2,7000,1,1,7000-0,15.667267614735366,2,Bernoulli,SNIPE(1),14.667065484853197,-1.0002021298821688,1.000404300620827,-0.0638402403327469
13,0.35,2,7000,1,1,7000-0,15.667267614735366,2,Bernoulli,Lin's,5.037111324563572,-10.630156290171794,113.00022275347897,-0.6784945883080422
14,0.35,2,7000,1,1,7000-0,15.667267614735366,2,Bernoulli,DM,4.832031073916769,-10.835236540818595,117.40235089549051,-0.6915843149719257
15,0.35,2,8000,1,1,8000-0,13.12219122475102,2,Bernoulli,Reg,14.9052741517755,1.7830829270244823,3.1793847246461957,0.135883016524042
16,0.35,2,8000,1,1,8000-0,13.12219122475102,2,Bernoulli,VIM,14.569512846430111,1.4473216216790927,2.0947398765797987,0.1102957270542713
17,0.35,2,8000,1,1,8000-0,13.12219122475102,2,Bernoulli,SNIPE(1),17.83604774923029,4.713856524479271,22.220443333375787,0.3592278487443481
18,0.35,2,8000,1,1,8000-0,13.12219122475102,2,Bernoulli,Lin's,4.452836199251693,-8.669355025499325,75.1577165581504,-0.6606636709536152
19,0.35,2,8000,1,1,8000-0,13.12219122475102,2,Bernoulli,DM,4.425463335346819,-8.6967278894042,75.63307598234081,-0.6627496688967975
20,0.35,2,9000,1,1,9000-0,16.871115376475643,2,Bernoulli,Reg,15.527893350166922,-1.3432220263087211,1.8042454119609077,-0.0796166700502595
21,0.35,2,9000,1,1,9000-0,16.871115376475643,2,Bernoulli,VIM,17.585586308035516,0.7144709315598732,0.510468712044033,0.0423487668489364
22,0.35,2,9000,1,1,9000-0,16.871115376475643,2,Bernoulli,SNIPE(1),10.735677427820884,-6.135437948654758,37.64359882179291,-0.3636652237711413
23,0.35,2,9000,1,1,9000-0,16.871115376475643,2,Bernoulli,Lin's,4.595093930595559,-12.276021445880083,150.70070253970772,-0.727635439148098
24,0.35,2,9000,1,1,9000-0,16.871115376475643,2,Bernoulli,DM,4.719685374298389,-12.151430002177252,147.65725109781349,-0.7202505424816598
25,0.35,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,Reg,20.070887794055416,4.321377370673391,18.67430237976807,0.2743816953356081
26,0.35,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,VIM,21.38445615593433,5.634945732552305,31.752613408809435,0.3577854537107742
27,0.35,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,SNIPE(1),17.80604701542549,2.056536592043466,4.229342754413754,0.1305778107864414
28,0.35,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,Lin's,4.899219718308533,-10.850290705073492,117.72880838460422,-0.6889287611737405
29,0.35,2,10000,1,1,10000-0,15.749510423382024,2,Bernoulli,DM,5.070953359644947,-10.678557063737076,114.03158096348903,-0.6780246989699112
0,0.35,2,5000,1,1,5000-0,14.53967409645214,3,Bernoulli,Reg,17.68444939370622,3.14477529725408,9.889611670219487,0.2162892563060573
1,0.35,2,5000,1,1,5000-0,14.53967409645214,3,Bernoulli,VIM,18.7712864686529,4.231612372200759,17.906543268562537,0.2910390111999363
2,0.35,2,5000,1,1,5000-0,14.53967409645214,3,Bernoulli,SNIPE(1),12.958082107859042,-1.5815919885930985,2.501433218381872,-0.1087776781034608
3,0.35,2,5000,1,1,5000-0,14.53967409645214,3,Bernoulli,Lin's,4.808286629381196,-9.731387467070943,94.69990203426546,-0.669298871660784
4,0.35,2,5000,1,1,5000-0,14.53967409645214,3,Bernoulli,DM,4.3327480854144325,-10.206926011037709,104.18133859479816,-0.7020051442231655
5,0.35,2,6000,1,1,6000-0,14.780512241414064,3,Bernoulli,Reg,18.173342811224774,3.392830569810714,11.511299275442097,0.2295475633316832
6,0.35,2,6000,1,1,6000-0,14.780512241414064,3,Bernoulli,VIM,17.844169761571184,3.06365752015712,9.385997400815274,0.2072768162643879
7,0.35,2,6000,1,1,6000-0,14.780512241414064,3,Bernoulli,SNIPE(1),19.34286363781082,4.562351396396755,20.81505026420342,0.308673429031325
8,0.35,2,6000,1,1,6000-0,14.780512241414064,3,Bernoulli,Lin's,5.462235790522162,-9.3182764508919,86.83027601524655,-0.6304434040372888
9,0.35,2,6000,1,1,6000-0,14.780512241414064,3,Bernoulli,DM,5.1106839115480405,-9.669828329866023,93.50557992907952,-0.6542282278128205
10,0.35,2,7000,1,1,7000-0,15.667267614735366,3,Bernoulli,Reg,20.003191134808617,4.335923520073251,18.800232771924414,0.2767504600480068
11,0.35,2,7000,1,1,7000-0,15.667267614735366,3,Bernoulli,VIM,22.02762855130304,6.360360936567677,40.454191243416055,0.4059649131534356
