Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
25,0.35,1.0,10000,1,1,10000-0,10.268567034017565,6,Bernoulli,Reg,6.180477281006844,-4.088089753010719,16.71247782867124,-0.3981168686407512
26,0.35,1.0,10000,1,1,10000-0,10.268567034017565,6,Bernoulli,VIM,6.40545738196066,-3.8631096520569033,14.923616183815207,-0.3762072779248797
27,0.35,1.0,10000,1,1,10000-0,10.268567034017565,6,Bernoulli,SNIPE(1),6.1048199895701,-4.163747044447463,17.336789450144988,-0.4054847215442876
28,0.35,1.0,10000,1,1,10000-0,10.268567034017565,6,Bernoulli,Lin's,5.022111389514759,-5.246455644502804,27.52529682973533,-0.5109238345644938
29,0.35,1.0,10000,1,1,10000-0,10.268567034017565,6,Bernoulli,DM,5.076033083780567,-5.192533950236996,26.96240882436382,-0.5056726934766305
30,0.35,1.3333333333333333,10000,1,1,10000-0,12.023932948335684,6,Bernoulli,Reg,7.505381527799944,-4.51855142053574,20.417306940025554,-0.3757964586089266
31,0.35,1.3333333333333333,10000,1,1,10000-0,12.023932948335684,6,Bernoulli,VIM,7.811245082385113,-4.212687865950571,17.746739055927172,-0.3503585627141806
32,0.35,1.3333333333333333,10000,1,1,10000-0,12.023932948335684,6,Bernoulli,SNIPE(1),7.398223927179475,-4.625709021156209,21.39718394840593,-0.3847084844062179
33,0.35,1.3333333333333333,10000,1,1,10000-0,12.023932948335684,6,Bernoulli,Lin's,5.024749192535817,-6.999183755799867,48.98857324745273,-0.5821043568584331
34,0.35,1.3333333333333333,10000,1,1,10000-0,12.023932948335684,6,Bernoulli,DM,5.086383810915228,-6.937549137420456,48.12958803412332,-0.5769783620076433
35,0.35,2.0,10000,1,1,10000-0,15.534664776971931,6,Bernoulli,Reg,10.155190021386144,-5.379474755585788,28.93874864598477,-0.346288435110627
36,0.35,2.0,10000,1,1,10000-0,15.534664776971931,6,Bernoulli,VIM,10.62282048323946,-4.911844293732472,24.126214365872244,-0.3161860499889013
37,0.35,2.0,10000,1,1,10000-0,15.534664776971931,6,Bernoulli,SNIPE(1),9.985031802398224,-5.549632974573706,30.7984261524758,-0.3572418880129487
38,0.35,2.0,10000,1,1,10000-0,15.534664776971931,6,Bernoulli,Lin's,5.030024798577928,-10.504639978394003,110.34746107567356,-0.6762064150856818
39,0.35,2.0,10000,1,1,10000-0,15.534664776971931,6,Bernoulli,DM,5.107085265184545,-10.427579511787386,108.73441447464803,-0.6712458660353509
40,0.35,3.0,10000,1,1,10000-0,20.800762519926295,6,Bernoulli,Reg,14.12990276176546,-6.670859758160839,44.50036991304969,-0.3207026546152057
41,0.35,3.0,10000,1,1,10000-0,20.800762519926295,6,Bernoulli,VIM,14.840183584508562,-5.960578935417736,35.52850124534563,-0.2865557899479762
42,0.35,3.0,10000,1,1,10000-0,20.800762519926295,6,Bernoulli,SNIPE(1),13.865243615226358,-6.93551890469994,48.10142247745026,-0.3334261856052628
43,0.35,3.0,10000,1,1,10000-0,20.800762519926295,6,Bernoulli,Lin's,5.037938207641101,-15.762824312285195,248.4666302999693,-0.7578003112715239
44,0.35,3.0,10000,1,1,10000-0,20.800762519926295,6,Bernoulli,DM,5.138137446588526,-15.662625073337772,245.31782418794904,-0.7529832167610973
45,0.35,4.0,10000,1,1,10000-0,26.066860262880663,6,Bernoulli,Reg,18.10461550214475,-7.9622447607359135,63.3973416298665,-0.3054546915293127
46,0.35,4.0,10000,1,1,10000-0,26.066860262880663,6,Bernoulli,VIM,19.05754668578945,-7.009313577091213,49.13047682199521,-0.2688975007501195
47,0.35,4.0,10000,1,1,10000-0,26.066860262880663,6,Bernoulli,SNIPE(1),17.745455428054477,-8.321404834826186,69.24577842506862,-0.3192331086638734
48,0.35,4.0,10000,1,1,10000-0,26.066860262880663,6,Bernoulli,Lin's,5.045851616704273,-21.02100864617639,441.88280450262255,-0.8064265674570101
49,0.35,4.0,10000,1,1,10000-0,26.066860262880663,6,Bernoulli,DM,5.169189627992507,-20.89767063488816,436.7126379642668,-0.8016949653367553
0,0.35,0.01,10000,1,1,10000-0,5.05513026849274,7,Bernoulli,Reg,8.04342590056297,2.988295632070229,8.929910784650009,0.5911411721069717
1,0.35,0.01,10000,1,1,10000-0,5.05513026849274,7,Bernoulli,VIM,8.144523739789875,3.089393471297135,9.544352020493362,0.6111402292741077
2,0.35,0.01,10000,1,1,10000-0,5.05513026849274,7,Bernoulli,SNIPE(1),3.814973027242798,-1.2401572412499422,1.5379899830246673,-0.2453264654680625
3,0.35,0.01,10000,1,1,10000-0,5.05513026849274,7,Bernoulli,Lin's,4.97988414439607,-0.0752461240966697,0.0056619791915714,-0.0148851008975294
4,0.35,0.01,10000,1,1,10000-0,5.05513026849274,7,Bernoulli,DM,4.941120341235676,-0.1140099272570642,0.012998263513161,-0.0225533114285218
5,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,7,Bernoulli,Reg,8.324510655765469,2.795431590406835,7.814437776644488,0.5055871976801827
6,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,7,Bernoulli,VIM,8.540052105024724,3.0109730396660908,9.06595864559606,0.5445704436622647
7,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,7,Bernoulli,SNIPE(1),3.290777644515689,-2.238301420842944,5.0099932505475415,-0.4048235509719123
8,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,7,Bernoulli,Lin's,4.970839274186488,-0.5582397911721451,0.3116316644479201,-0.1009643350317935
9,0.35,0.1,10000,1,1,10000-0,5.5290790653586335,7,Bernoulli,DM,4.929219710907654,-0.5998593544509792,0.3598312451223454,-0.1084917302429768
10,0.35,0.25,10000,1,1,10000-0,6.318993726801788,7,Bernoulli,Reg,8.792985247769634,2.4739915209678456,6.120634045820794,0.3915166920445732
11,0.35,0.25,10000,1,1,10000-0,6.318993726801788,7,Bernoulli,VIM,9.199266047080286,2.8802723202784977,8.295968638962481,0.4558118657503843
12,0.35,0.25,10000,1,1,10000-0,6.318993726801788,7,Bernoulli,SNIPE(1),2.417118673303843,-3.9018750534979456,15.224628933109596,-0.6174836092886563
13,0.35,0.25,10000,1,1,10000-0,6.318993726801788,7,Bernoulli,Lin's,4.955764490503851,-1.3632292362979372,1.8583939506974567,-0.2157351779787102
14,0.35,0.25,10000,1,1,10000-0,6.318993726801788,7,Bernoulli,DM,4.90938532702762,-1.4096083997741689,1.986995840713893,-0.2230748218336354
15,0.35,0.5,10000,1,1,10000-0,7.635518162540379,7,Bernoulli,Reg,9.573776234443242,1.9382580719028637,3.756844353296606,0.2538476146140151
