Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
35,0.35,2.0,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,Reg,12.643357327335384,3.945190175953961,15.564525524443646,0.4535656888735915
36,0.35,2.0,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,VIM,12.500641151277536,3.802473999896112,14.458808519885936,0.437158074076814
37,0.35,2.0,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,SNIPE(2),11.944923992297063,3.2467568409156407,10.541429984032511,0.3732690789231381
38,0.35,2.0,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,Lin's,3.84508522133432,-4.8530819300471055,23.55240421974974,-0.5579430523218157
39,0.35,2.0,10000,2,1,10000-0,8.698167151381424,2,Bernoulli,DM,3.9260789455853273,-4.772088205796097,22.77282584389821,-0.5486314671520429
40,0.35,3.0,10000,2,1,10000-0,11.583842302522113,2,Bernoulli,Reg,17.14962158853659,5.565779286014477,30.97789906062782,0.4804778190741303
41,0.35,3.0,10000,2,1,10000-0,11.583842302522113,2,Bernoulli,VIM,16.992503835161905,5.408661532639792,29.253619574657424,0.4669142924590903
42,0.35,3.0,10000,2,1,10000-0,11.583842302522113,2,Bernoulli,SNIPE(2),16.238622595440773,4.654780292918661,21.66697957534393,0.4018338795845995
43,0.35,3.0,10000,2,1,10000-0,11.583842302522113,2,Bernoulli,Lin's,3.9148889255164647,-7.668953377005648,58.812845898686334,-0.6620388275948742
44,0.35,3.0,10000,2,1,10000-0,11.583842302522113,2,Bernoulli,DM,4.008140992034352,-7.575701310487761,57.39125034572599,-0.6539886432016023
45,0.35,4.0,10000,2,1,10000-0,14.399011447106558,2,Bernoulli,Reg,21.602069198986968,7.20305775188041,51.88404097692446,0.5002466855686711
46,0.35,4.0,10000,2,1,10000-0,14.399011447106558,2,Bernoulli,VIM,21.431423630390437,7.032412183283876,49.45482111559949,0.4883954852815274
47,0.35,4.0,10000,2,1,10000-0,14.399011447106558,2,Bernoulli,SNIPE(2),20.478344008990785,6.079332561884227,36.95828439798584,0.4222048565081079
48,0.35,4.0,10000,2,1,10000-0,14.399011447106558,2,Bernoulli,Lin's,3.960329724209144,-10.438681722897414,108.96607611195252,-0.7249582210030842
49,0.35,4.0,10000,2,1,10000-0,14.399011447106558,2,Bernoulli,DM,4.065513079950353,-10.333498367156205,106.78118850401997,-0.7176533198209724
0,0.35,0.01,10000,2,1,10000-0,2.732834079443499,3,Bernoulli,Reg,3.948647245534216,1.2158131660907163,1.4782016548395325,0.444890955962573
1,0.35,0.01,10000,2,1,10000-0,2.732834079443499,3,Bernoulli,VIM,4.609780216681124,1.8769461372376248,3.52292680209124,0.6868130602425145
2,0.35,0.01,10000,2,1,10000-0,2.732834079443499,3,Bernoulli,SNIPE(2),0.8343591112313657,-1.898474968212133,3.60420720492806,-0.6946909007365458
3,0.35,0.01,10000,2,1,10000-0,2.732834079443499,3,Bernoulli,Lin's,3.158649948091416,0.4258158686479167,0.1813191539923799,0.1558147535742923
4,0.35,0.01,10000,2,1,10000-0,2.732834079443499,3,Bernoulli,DM,2.723553087160243,-0.0092809922832559,8.613681776185671e-05,-0.003396105293427
5,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,3,Bernoulli,Reg,4.35559563629914,1.442999278610526,2.0822469180704988,0.4954340050592062
6,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,3,Bernoulli,VIM,5.161611525631742,2.2490151679431287,5.05806922563826,0.7721685025136502
7,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,3,Bernoulli,SNIPE(2),0.9831921354673632,-1.9294042222212504,3.722600652725189,-0.662434469207533
8,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,3,Bernoulli,Lin's,3.257951915065744,0.3453555573771303,0.1192704610112683,0.118573092514336
9,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,3,Bernoulli,DM,2.814728307417994,-0.0978680502706197,0.0095781552637725,-0.0336016523581338
10,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,3,Bernoulli,Reg,5.22329409934449,1.8455702642636675,3.4061296003342627,0.5463946593548273
11,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,3,Bernoulli,VIM,6.223667736950737,2.845943901869914,8.09939669259055,0.8425626370966517
12,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,3,Bernoulli,SNIPE(2),1.4389492033505191,-1.9387746317303036,3.7588470726409735,-0.5739884982882006
13,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,3,Bernoulli,Lin's,3.370269407080514,-0.0074544280003085,5.556849681178486e-05,-0.0022069382709407
14,0.35,0.25,10000,2,1,10000-0,3.3777238350808227,3,Bernoulli,DM,2.913066522411221,-0.4646573126696012,0.2159064182173355,-0.1375652170978871
15,0.35,0.5,10000,2,1,10000-0,4.16657131668092,3,Bernoulli,Reg,6.705247896647902,2.5386765799669817,6.444878777672851,0.6092963223270315
16,0.35,0.5,10000,2,1,10000-0,4.16657131668092,3,Bernoulli,VIM,8.03426079625744,3.86768947957652,14.959021910426893,0.928266717550754
17,0.35,0.5,10000,2,1,10000-0,4.16657131668092,3,Bernoulli,SNIPE(2),2.1885657517118178,-1.9780055649691024,3.912506015048737,-0.4747321993626108
18,0.35,0.5,10000,2,1,10000-0,4.16657131668092,3,Bernoulli,Lin's,3.482884813256709,-0.683686503424211,0.4674272349644237,-0.1640885158228454
19,0.35,0.5,10000,2,1,10000-0,4.16657131668092,3,Bernoulli,DM,3.001972385733221,-1.1645989309476987,1.3562906699645227,-0.2795101397365293
20,0.35,0.75,10000,2,1,10000-0,4.945599748059879,3,Bernoulli,Reg,8.181190694057305,3.2355909459974264,10.46904876982052,0.6542363132533571
21,0.35,0.75,10000,2,1,10000-0,4.945599748059879,3,Bernoulli,VIM,9.843972528879217,4.898372780819338,23.99405589987178,0.9904507097932728
22,0.35,0.75,10000,2,1,10000-0,4.945599748059879,3,Bernoulli,SNIPE(2),2.909458782810724,-2.0361409652491544,4.145870030365758,-0.4117075924002781
23,0.35,0.75,10000,2,1,10000-0,4.945599748059879,3,Bernoulli,Lin's,3.5508071723665866,-1.394792575693292,1.9454463292091275,-0.2820269829236502
24,0.35,0.75,10000,2,1,10000-0,4.945599748059879,3,Bernoulli,DM,3.0460003242080416,-1.899599423851837,3.608477971098231,-0.3840989001580719
25,0.35,1.0,10000,2,1,10000-0,5.71345444412177,3,Bernoulli,Reg,9.649057932432807,3.935603488311037,15.488974817206005,0.6888308162429024
26,0.35,1.0,10000,2,1,10000-0,5.71345444412177,3,Bernoulli,VIM,11.648229263696637,5.934774819574867,35.22155215905989,1.0387367008204291
27,0.35,1.0,10000,2,1,10000-0,5.71345444412177,3,Bernoulli,SNIPE(2),3.6128263695520166,-2.100628074569753,4.41263830767063,-0.3676633978819877
28,0.35,1.0,10000,2,1,10000-0,5.71345444412177,3,Bernoulli,Lin's,3.5956876596797733,-2.1177667844419967,4.484936153285795,-0.370663108484367
29,0.35,1.0,10000,2,1,10000-0,5.71345444412177,3,Bernoulli,DM,3.0669956784883388,-2.6464587656334317,7.003743998198025,-0.4631976664058665
30,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,3,Bernoulli,Reg,11.59566192157181,4.873477334324981,23.750781328179325,0.7249841582111309
31,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,3,Bernoulli,VIM,14.04513088502207,7.322946297775241,53.62554248010011,1.0893700110032924
32,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,3,Bernoulli,SNIPE(2),4.533616377257851,-2.1885682099889783,4.789830809774361,-0.3255739531671116
33,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,3,Bernoulli,Lin's,3.635194900434067,-3.086989686812762,9.529505326488357,-0.4592241773112459
34,0.35,1.3333333333333333,10000,2,1,10000-0,6.722184587246829,3,Bernoulli,DM,3.0748050443152684,-3.647379542931561,13.303377530195643,-0.542588424282678
35,0.35,2.0,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,Reg,15.462398088782724,6.764230937401299,45.75482017449686,0.7776616406281659
36,0.35,2.0,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,VIM,18.813661122930444,10.11549397154902,102.32321828844456,1.1629454568417323
37,0.35,2.0,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,SNIPE(2),6.341640897697251,-2.356526253684174,5.553215984302767,-0.2709221624132522
38,0.35,2.0,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,Lin's,3.677956574601241,-5.020210576780183,25.20251423521562,-0.5771572895081563
39,0.35,2.0,10000,2,1,10000-0,8.698167151381424,3,Bernoulli,DM,3.054899804596812,-5.643267346784613,31.84646634728545,-0.6487881008228683
40,0.35,3.0,10000,2,1,10000-0,11.583842302522113,3,Bernoulli,Reg,21.22122541909971,9.637383116577595,92.87915333569492,0.8319677413494554
41,0.35,3.0,10000,2,1,10000-0,11.583842302522113,3,Bernoulli,VIM,25.922238445641195,14.338396143119082,205.58960395701217,1.2377927606971333
42,0.35,3.0,10000,2,1,10000-0,11.583842302522113,3,Bernoulli,SNIPE(2),9.012668894302465,-2.571173408219648,6.610932695135842,-0.2219620520610708
43,0.35,3.0,10000,2,1,10000-0,11.583842302522113,3,Bernoulli,Lin's,3.7024622438437103,-7.881380058678403,62.11615162933358,-0.6803770159200471
44,0.35,3.0,10000,2,1,10000-0,11.583842302522113,3,Bernoulli,DM,2.9873214152513348,-8.596520887270778,73.90017136528276,-0.7421130798197317
45,0.35,4.0,10000,2,1,10000-0,14.399011447106558,3,Bernoulli,Reg,26.952726218055865,12.553714770949307,157.59575455035082,0.8718455997527484
46,0.35,4.0,10000,2,1,10000-0,14.399011447106558,3,Bernoulli,VIM,32.99840344422569,18.599391997119127,345.93738266249903,1.2917131197125775
47,0.35,4.0,10000,2,1,10000-0,14.399011447106558,3,Bernoulli,SNIPE(2),11.662863607118965,-2.736147839987595,7.486505002268781,-0.1900233116723729
48,0.35,4.0,10000,2,1,10000-0,14.399011447106558,3,Bernoulli,Lin's,3.70845224913761,-10.690559197968948,114.28805596527847,-0.7424509131921821
49,0.35,4.0,10000,2,1,10000-0,14.399011447106558,3,Bernoulli,DM,2.903318362640272,-11.495693084466286,132.150959492246,-0.7983668272432907
0,0.35,0.01,10000,2,1,10000-0,2.732834079443499,4,Bernoulli,Reg,2.3680665283624966,-0.3647675510810022,0.1330553663216315,-0.1334759229712481
1,0.35,0.01,10000,2,1,10000-0,2.732834079443499,4,Bernoulli,VIM,2.148188372910792,-0.5846457065327075,0.3418106021671288,-0.2139338465260071
2,0.35,0.01,10000,2,1,10000-0,2.732834079443499,4,Bernoulli,SNIPE(2),2.135142072820925,-0.5976920066225739,0.3572357347805189,-0.2187077551170926
3,0.35,0.01,10000,2,1,10000-0,2.732834079443499,4,Bernoulli,Lin's,3.144351872732629,0.4115177932891303,0.1693468941935553,0.1505827947567639
4,0.35,0.01,10000,2,1,10000-0,2.732834079443499,4,Bernoulli,DM,2.9722504896412545,0.2394164101977556,0.0573202174719799,0.0876073714092841
5,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,4,Bernoulli,Reg,2.84426469860372,-0.0683316590848934,0.0046692156332941,-0.0234607376695067
6,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,4,Bernoulli,VIM,2.597084045068328,-0.3155123126202857,0.0995480194150008,-0.1083268238619479
7,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,4,Bernoulli,SNIPE(2),2.5856272122144106,-0.3269691454742029,0.1069088220921305,-0.1122603702401386
8,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,4,Bernoulli,Lin's,3.248895216910953,0.3362988592223392,0.1130969227142467,0.115463599456404
9,0.35,0.1,10000,2,1,10000-0,2.9125963576886136,4,Bernoulli,DM,3.0739505985127584,0.1613542408241448,0.0260351910319361,0.0553987648848784
