Unnamed: 0,p,ratio,n,beta,rho,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
23,0.35,2,10000,2,0.8,10000-0,11.556431717334526,10,Bernoulli,Lin's,3.67108187493226,-7.885349842402267,62.178742137073456,-0.682334308311996
24,0.35,2,10000,2,0.8,10000-0,11.556431717334526,10,Bernoulli,DM,3.390063509725568,-8.166368207608958,66.68956970224635,-0.7066513615409064
25,0.35,2,10000,2,1.0,10000-0,11.58801851606872,10,Bernoulli,Reg,16.020552551259886,4.432534035191166,19.64735797312808,0.3825100925619611
26,0.35,2,10000,2,1.0,10000-0,11.58801851606872,10,Bernoulli,VIM,20.1397795834049,8.551761067336178,73.13261735280682,0.737983034414187
27,0.35,2,10000,2,1.0,10000-0,11.58801851606872,10,Bernoulli,SNIPE(2),8.122092821603562,-3.4659256944651577,12.012640919553784,-0.2990956296504941
28,0.35,2,10000,2,1.0,10000-0,11.58801851606872,10,Bernoulli,Lin's,3.942642482015359,-7.645376034053362,58.45177470207751,-0.6597656038823008
29,0.35,2,10000,2,1.0,10000-0,11.58801851606872,10,Bernoulli,DM,3.5603244093994086,-8.027694106669312,64.4438726702532,-0.6927581359606542
0,0.35,2,10000,2,0.0,10000-0,11.976404361081215,11,Bernoulli,Reg,11.01209485632126,-0.9643095047599566,0.9298928209703928,-0.0805174471140601
1,0.35,2,10000,2,0.0,10000-0,11.976404361081215,11,Bernoulli,VIM,11.387127272288248,-0.5892770887929686,0.3472474873763161,-0.0492031724235945
2,0.35,2,10000,2,0.0,10000-0,11.976404361081215,11,Bernoulli,SNIPE(2),11.190715366665826,-0.7856889944153913,0.6173071959454688,-0.0656030784138003
3,0.35,2,10000,2,0.0,10000-0,11.976404361081215,11,Bernoulli,Lin's,4.135782127615484,-7.840622233465733,61.475357007917175,-0.6546724707245848
4,0.35,2,10000,2,0.0,10000-0,11.976404361081215,11,Bernoulli,DM,4.13718063362794,-7.839223727453277,61.453428649066446,-0.6545556989481575
5,0.35,2,10000,2,0.2,10000-0,11.99137952642928,11,Bernoulli,Reg,5.848909132590119,-6.142470393839162,37.729942539190624,-0.5122405124698967
6,0.35,2,10000,2,0.2,10000-0,11.99137952642928,11,Bernoulli,VIM,7.269808820915771,-4.72157070551351,22.293229927163345,-0.3937470826527554
7,0.35,2,10000,2,0.2,10000-0,11.99137952642928,11,Bernoulli,SNIPE(2),5.937963329921575,-6.053416196507706,36.643847648141815,-0.5048139943503444
8,0.35,2,10000,2,0.2,10000-0,11.99137952642928,11,Bernoulli,Lin's,4.058027690631145,-7.933351835798136,62.93807135056165,-0.6615879197479191
9,0.35,2,10000,2,0.2,10000-0,11.99137952642928,11,Bernoulli,DM,4.072161405914709,-7.9192181205145715,62.71401564028634,-0.6604092634263163
10,0.35,2,10000,2,0.4,10000-0,11.750657927384108,11,Bernoulli,Reg,6.05846490846428,-5.692193018919828,32.401061364639624,-0.4844148348199772
11,0.35,2,10000,2,0.4,10000-0,11.750657927384108,11,Bernoulli,VIM,4.918719533498717,-6.831938393885391,46.675382217845296,-0.5814090101256394
12,0.35,2,10000,2,0.4,10000-0,11.750657927384108,11,Bernoulli,SNIPE(2),6.620638576025431,-5.130019351358676,26.317098545314494,-0.4365729462180595
13,0.35,2,10000,2,0.4,10000-0,11.750657927384108,11,Bernoulli,Lin's,3.8199038208375744,-7.930754106546534,62.89686069850471,-0.6749200049526122
14,0.35,2,10000,2,0.4,10000-0,11.750657927384108,11,Bernoulli,DM,3.849425415454996,-7.901232511929111,62.42947520756561,-0.6724076694902187
15,0.35,2,10000,2,0.6,10000-0,11.37278898642453,11,Bernoulli,Reg,10.504271977948012,-0.8685170084765161,0.7543217940129968,-0.0763679876161641
16,0.35,2,10000,2,0.6,10000-0,11.37278898642453,11,Bernoulli,VIM,11.394954710867792,0.022165724443262,0.0004913193400946,0.0019490139551275
17,0.35,2,10000,2,0.6,10000-0,11.37278898642453,11,Bernoulli,SNIPE(2),9.995779061912938,-1.377009924511592,1.89615633220342,-0.1210793523167712
18,0.35,2,10000,2,0.6,10000-0,11.37278898642453,11,Bernoulli,Lin's,4.187672716308693,-7.185116270115836,51.6258958150833,-0.6317813755880431
19,0.35,2,10000,2,0.6,10000-0,11.37278898642453,11,Bernoulli,DM,4.223890451995858,-7.148898534428671,51.1067502555564,-0.6285967798191076
